As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,IHub Balance,Balance Difference,Match Status,Comments
1/30/2024,00001,1618001,4917,GBP,CREDIT CARDS,DEFERRED ORIGINATION FEES,64617,64616.94500606039,-0.054993939607811626,Match,Difference is within tolerance (less than 1 USD)
12/30/2024,00002,1623456,4417,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,48708,48708.97793488023,0.9779348802330787,Match,Difference is within tolerance (less than 1 USD)
6/30/2024,00003,1619288,6254,USD,MORTGAGES,DEFERRED ORIGINATION FEES,80869,80869.47995967264,0.47995967263705097,Match,Difference is within tolerance (less than 1 USD)
5/30/2024,00002,1623456,5952,INR,MORTGAGES,DEFERRED COSTS,63685,63685.98468004582,0.9846800458180951,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00000,1623456,4834,EUR,CREDIT CARDS,PRINCIPAL,27709,27708.33501014423,-0.664989855769818,Match,Difference is within tolerance (less than 1 USD)
7/30/2024,00003,1619288,6841,EUR,CREDIT CARDS,DEFERRED ORIGINATION FEES,29028,29027.090819190176,-0.909180809823738,Match,Difference is within tolerance (less than 1 USD)
11/30/2024,00000,1623456,4633,GBP,CREDIT CARDS,DEFERRED COSTS,94861,94860.92694070969,-0.07305929031281266,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00003,1619205,6823,EUR,ALL OTHER LOANS,PRINCIPAL,79314,79313.95718214138,-0.04281785861530807,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00003,1618001,6840,INR,ALL OTHER LOANS,INTEREST INCOME,84686,84686.14203833241,0.14203833241481334,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00000,1623456,4933,USD,MORTGAGES,DEFERRED ORIGINATION FEES,14353,14353.774502181072,0.7745021810715116,Match,Difference is within tolerance (less than 1 USD)
3/30/2024,00001,1623456,5254,EUR,CREDIT CARDS,PRINCIPAL,28153,28153.993090391534,0.9930903915337694,Match,Difference is within tolerance (less than 1 USD)
7/30/2024,00002,1619205,4704,EUR,MORTGAGES,INTEREST INCOME,62986,62986.3374941703,0.3374941703004879,Match,Difference is within tolerance (less than 1 USD)
4/30/2024,00000,1619205,4741,EUR,MORTGAGES,INTEREST INCOME,84321,84321.65815095295,0.6581509529496543,Match,Difference is within tolerance (less than 1 USD)
11/30/2024,00000,1619288,4539,USD,MORTGAGES,PRINCIPAL,25180,25179.141969357675,-0.8580306423245929,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00000,1619288,6247,GBP,CREDIT CARDS,INTEREST INCOME,47226,47226.339125584454,0.3391255844544503,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00002,1619205,5089,EUR,CREDIT CARDS,DEFERRED COSTS,23798,23798.117067506708,0.1170675067078264,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00000,1623456,5829,USD,MORTGAGES,INTEREST INCOME,16427,16427.132145624157,0.13214562415669207,Match,Difference is within tolerance (less than 1 USD)
12/30/2024,00000,1619205,6047,INR,CREDIT CARDS,INTEREST INCOME,36708,36708.37821066147,0.37821066146716475,Match,Difference is within tolerance (less than 1 USD)
3/30/2024,00000,1619205,5682,GBP,ALL OTHER LOANS,DEFERRED COSTS,96463,96463.51817492305,0.5181749230541755,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00000,1619288,4607,EUR,ALL OTHER LOANS,INTEREST INCOME,28233,28233.029649654633,0.02964965463252156,Match,Difference is within tolerance (less than 1 USD)
5/30/2024,00000,1619205,5977,USD,CREDIT CARDS,INTEREST INCOME,61700,61700.91083638298,0.910836382980051,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00000,1619205,4336,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,43949,43948.40379602789,-0.596203972112562,Match,Difference is within tolerance (less than 1 USD)
7/30/2024,00003,1623456,6639,EUR,CREDIT CARDS,DEFERRED COSTS,35098,35098.711880860654,0.7118808606537641,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00000,1623456,6544,GBP,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,64326,64325.97820462049,-0.021795379507238977,Match,Difference is within tolerance (less than 1 USD)
3/30/2024,00003,1623456,4323,EUR,ALL OTHER LOANS,DEFERRED COSTS,54263,54263.31790872245,0.31790872244891943,Match,Difference is within tolerance (less than 1 USD)
6/30/2024,00002,1619288,5050,INR,MORTGAGES,DEFERRED COSTS,85156,85155.20127048602,-0.7987295139755588,Match,Difference is within tolerance (less than 1 USD)
9/30/2024,00002,1618001,6169,INR,ALL OTHER LOANS,DEFERRED COSTS,13489,13488.928746603226,-0.07125339677440934,Match,Difference is within tolerance (less than 1 USD)
11/30/2024,00000,1623456,4311,EUR,ALL OTHER LOANS,PRINCIPAL,38546,38546.974345763636,0.9743457636359381,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00001,1618001,4668,GBP,MORTGAGES,INTEREST INCOME,67041,67040.3047167272,-0.695283272798406,Match,Difference is within tolerance (less than 1 USD)
6/30/2024,00003,1619205,4412,USD,CREDIT CARDS,DEFERRED ORIGINATION FEES,68369,68368.38584329144,-0.6141567085578572,Match,Difference is within tolerance (less than 1 USD)
9/30/2024,00002,1619205,5909,GBP,ALL OTHER LOANS,INTEREST INCOME,89689,89689.50018775948,0.5001877594768303,Match,Difference is within tolerance (less than 1 USD)
