As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,IHub Balance,Balance Difference,Match Status,Comments
5/30/2024,00001,1618001,4881,GBP,CREDIT CARDS,DEFERRED ORIGINATION FEES,11986,11985.000457138505,-0.9995428614947741,Match,Difference is within tolerance (less than 1 USD)
6/30/2024,00001,1619205,6829,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,40258,40257.653458624816,-0.3465413751837332,Match,Difference is within tolerance (less than 1 USD)
12/30/2024,00000,1619288,4796,USD,MORTGAGES,INTEREST INCOME,43471,43471.58297331246,0.5829733124628547,Match,Difference is within tolerance (less than 1 USD)
7/30/2024,00002,1619288,5242,INR,MORTGAGES,DEFERRED COSTS,87968,87968.08641322794,0.08641322793846484,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00000,1619288,4892,GBP,CREDIT CARDS,INTEREST INCOME,23450,23449.829353921497,-0.17064607850261382,Match,Difference is within tolerance (less than 1 USD)
4/30/2024,00003,1623456,5000,GBP,ALL OTHER LOANS,PRINCIPAL,20863,20863.929522299808,0.9295222998080135,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00000,1619205,4422,EUR,ALL OTHER LOANS,PRINCIPAL,35042,35042.67779700842,0.6777970084222034,Match,Difference is within tolerance (less than 1 USD)
6/30/2024,00002,1618001,5256,GBP,MORTGAGES,DEFERRED COSTS,96237,96237.79311726452,0.7931172645185143,Match,Difference is within tolerance (less than 1 USD)
11/30/2024,00003,1618001,4972,INR,MORTGAGES,INTEREST INCOME,84011,84011.66392256308,0.6639225630788133,Match,Difference is within tolerance (less than 1 USD)
5/30/2024,00001,1619205,6688,EUR,MORTGAGES,PRINCIPAL,20708,20707.95081295326,-0.04918704674128094,Match,Difference is within tolerance (less than 1 USD)
9/30/2024,00002,1623456,5104,GBP,CREDIT CARDS,PRINCIPAL,71999,71999.65198947341,0.6519894734083209,Match,Difference is within tolerance (less than 1 USD)
8/30/2024,00003,1618001,6235,EUR,ALL OTHER LOANS,PRINCIPAL,27005,27004.553241803216,-0.44675819678377593,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00000,1619205,4365,USD,ALL OTHER LOANS,PRINCIPAL,75408,75407.09415990477,-0.9058400952344527,Match,Difference is within tolerance (less than 1 USD)
6/30/2024,00002,1623456,5534,USD,CREDIT CARDS,PRINCIPAL,61119,61119.97000922389,0.9700092238927027,Match,Difference is within tolerance (less than 1 USD)
5/30/2024,00001,1623456,6032,EUR,MORTGAGES,INTEREST INCOME,30795,30794.228469467103,-0.7715305328965769,Match,Difference is within tolerance (less than 1 USD)
3/30/2024,00003,1619205,4511,GBP,MORTGAGES,DEFERRED ORIGINATION FEES,30807,30807.974878850557,0.9748788505567063,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00003,1623456,5424,EUR,MORTGAGES,DEFERRED ORIGINATION FEES,52518,52518.238586920765,0.2385869207646465,Match,Difference is within tolerance (less than 1 USD)
6/30/2024,00002,1619205,6702,USD,CREDIT CARDS,DEFERRED ORIGINATION FEES,24062,24061.993360076525,-0.006639923474722309,Match,Difference is within tolerance (less than 1 USD)
3/30/2024,00002,1619205,4986,GBP,ALL OTHER LOANS,DEFERRED COSTS,28382,28381.645650147773,-0.35434985222673276,Match,Difference is within tolerance (less than 1 USD)
7/30/2024,00003,1618001,4470,USD,CREDIT CARDS,DEFERRED ORIGINATION FEES,98017,98016.83036146918,-0.16963853081688285,Match,Difference is within tolerance (less than 1 USD)
6/30/2024,00000,1618001,5708,INR,MORTGAGES,DEFERRED ORIGINATION FEES,83256,83256.46648779893,0.466487798927119,Match,Difference is within tolerance (less than 1 USD)
11/30/2024,00000,1619205,6168,INR,ALL OTHER LOANS,PRINCIPAL,95611,95611.57777636079,0.5777763607911766,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00000,1623456,6888,EUR,CREDIT CARDS,DEFERRED COSTS,50535,50534.36958598748,-0.6304140125212143,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00000,1619288,5338,INR,MORTGAGES,DEFERRED COSTS,23984,23983.027894729577,-0.9721052704226167,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00002,1618001,6824,EUR,CREDIT CARDS,DEFERRED COSTS,56376,56376.50955725539,0.5095572553909733,Match,Difference is within tolerance (less than 1 USD)
6/30/2024,00000,1623456,4371,GBP,MORTGAGES,PRINCIPAL,29778,29777.47117297386,-0.5288270261407888,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00002,1623456,5520,EUR,MORTGAGES,PRINCIPAL,87883,87883.05409015165,0.05409015165059827,Match,Difference is within tolerance (less than 1 USD)
12/30/2024,00000,1623456,6689,USD,ALL OTHER LOANS,DEFERRED COSTS,95718,95718.44634562651,0.4463456265075365,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00001,1623456,6376,EUR,CREDIT CARDS,DEFERRED COSTS,25727,25726.054465748595,-0.9455342514047516,Match,Difference is within tolerance (less than 1 USD)
4/30/2024,00001,1619288,5828,GBP,MORTGAGES,INTEREST INCOME,35747,35747.25441638231,0.25441638231131947,Match,Difference is within tolerance (less than 1 USD)
6/30/2024,00000,1619288,6104,INR,CREDIT CARDS,DEFERRED ORIGINATION FEES,62051,62051.52964808047,0.5296480804681778,Match,Difference is within tolerance (less than 1 USD)
7/30/2024,00001,1619205,6558,INR,CREDIT CARDS,DEFERRED COSTS,60164,60164.724573948326,0.7245739483259968,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00000,1619205,5861,INR,MORTGAGES,PRINCIPAL,63911,63911.13696643043,0.136966430429311,Match,Difference is within tolerance (less than 1 USD)
11/30/2024,00001,1619205,4226,INR,MORTGAGES,DEFERRED ORIGINATION FEES,44118,44118.01636245383,0.01636245383269852,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00000,1618001,5303,INR,CREDIT CARDS,DEFERRED COSTS,67796,67796.51638107137,0.5163810713711428,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00002,1623456,6184,EUR,ALL OTHER LOANS,INTEREST INCOME,98607,98606.68071496945,-0.3192850305495085,Match,Difference is within tolerance (less than 1 USD)
4/30/2024,00002,1619205,4073,USD,MORTGAGES,DEFERRED ORIGINATION FEES,68520,68520.85141150876,0.8514115087600658,Match,Difference is within tolerance (less than 1 USD)
6/30/2024,00001,1618001,5374,INR,CREDIT CARDS,DEFERRED ORIGINATION FEES,47760,47760.12666931897,0.12666931896819733,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00003,1619205,5478,EUR,MORTGAGES,DEFERRED COSTS,30263,30262.34051678355,-0.6594832164482796,Match,Difference is within tolerance (less than 1 USD)
1/30/2024,00003,1623456,4029,INR,CREDIT CARDS,DEFERRED COSTS,66339,66338.99159460896,-0.008405391039559618,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00000,1618001,5934,EUR,CREDIT CARDS,INTEREST INCOME,73351,73350.03269765057,-0.9673023494251538,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00000,1623456,5298,EUR,MORTGAGES,INTEREST INCOME,44799,44799.294095895195,0.2940958951949142,Match,Difference is within tolerance (less than 1 USD)
7/30/2024,00002,1619205,4740,INR,ALL OTHER LOANS,DEFERRED COSTS,39822,39821.54395356135,-0.45604643865226535,Match,Difference is within tolerance (less than 1 USD)
7/30/2024,00003,1619288,6988,USD,CREDIT CARDS,DEFERRED COSTS,67252,67252.43315000096,0.4331500009575393,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00002,1623456,6869,USD,MORTGAGES,DEFERRED ORIGINATION FEES,48266,48266.557533083695,0.5575330836945795,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00002,1619205,4211,EUR,MORTGAGES,INTEREST INCOME,81777,81776.26829306714,-0.7317069328564685,Match,Difference is within tolerance (less than 1 USD)
9/30/2024,00000,1623456,4547,EUR,MORTGAGES,PRINCIPAL,49508,49508.39740470249,0.39740470248943893,Match,Difference is within tolerance (less than 1 USD)
2/30/2024,00002,1618001,6858,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,47567,47566.41652663101,-0.5834733689916902,Match,Difference is within tolerance (less than 1 USD)
12/30/2024,00001,1619288,5351,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,71212,71212.85774166069,0.8577416606858606,Match,Difference is within tolerance (less than 1 USD)
10/30/2024,00003,1618001,5843,INR,MORTGAGES,INTEREST INCOME,67701,67700.58095934954,-0.4190406504640123,Match,Difference is within tolerance (less than 1 USD)
3/30/2024,00003,1619205,6101,USD,MORTGAGES,INTEREST INCOME,49551,49550.87053036867,-0.12946963132708333,Match,Difference is within tolerance (less than 1 USD)
5/30/2024,00003,1618001,5827,GBP,CREDIT CARDS,INTEREST INCOME,85848,85847.49716389966,-0.5028361003351165,Match,Difference is within tolerance (less than 1 USD)
